tweet_text,cyberbullying_type
You're worthless!,cyberbullying
Such a wonderful experience!,not_cyberbullying
Love this view!,not_cyberbullying
This is the best day ever!,not_cyberbullying
You're the best friend ever!,not_cyberbullying
I can't stand you!,not_cyberbullying
Love this view!,not_cyberbullying
You're worthless!,not_cyberbullying
You're the best friend ever!,not_cyberbullying
Love this view!,cyberbullying
You're amazing!,cyberbullying
I can't stand you!,cyberbullying
You inspire me!,cyberbullying
I hate you so much!,cyberbullying
Such a wonderful experience!,not_cyberbullying
I admire your work!,cyberbullying
You're amazing!,not_cyberbullying
You're amazing!,cyberbullying
Keep up the great work!,not_cyberbullying
Such a wonderful experience!,not_cyberbullying
Keep up the great work!,cyberbullying
You're worthless!,cyberbullying
You're so stupid!,not_cyberbullying
I hate you so much!,cyberbullying
Keep up the great work!,not_cyberbullying
Such a wonderful experience!,cyberbullying
You're the best friend ever!,cyberbullying
You're the best friend ever!,cyberbullying
You inspire me!,cyberbullying
"Get lost, loser!",not_cyberbullying
I admire your work!,not_cyberbullying
Nobody likes you.,cyberbullying
You're amazing!,not_cyberbullying
You're the best friend ever!,not_cyberbullying
You're a loser!,cyberbullying
You're amazing!,not_cyberbullying
Such a wonderful experience!,cyberbullying
"Get lost, loser!",cyberbullying
You're so stupid!,cyberbullying
Keep up the great work!,cyberbullying
You're amazing!,not_cyberbullying
Such a wonderful experience!,not_cyberbullying
You're so stupid!,cyberbullying
Such a wonderful experience!,cyberbullying
Keep up the great work!,cyberbullying
You're amazing!,not_cyberbullying
I can't stand you!,not_cyberbullying
This is the best day ever!,cyberbullying
You're pathetic!,not_cyberbullying
You're the best friend ever!,cyberbullying
Such a wonderful experience!,not_cyberbullying
Such a wonderful experience!,cyberbullying
"Get lost, loser!",not_cyberbullying
You're amazing!,not_cyberbullying
Love this view!,cyberbullying
I hate you so much!,not_cyberbullying
I hate you so much!,not_cyberbullying
You're the best friend ever!,cyberbullying
"Get lost, loser!",cyberbullying
Such a wonderful experience!,not_cyberbullying
"Get lost, loser!",not_cyberbullying
You're worthless!,not_cyberbullying
Love this view!,not_cyberbullying
"Get lost, loser!",not_cyberbullying
You're so stupid!,cyberbullying
You're worthless!,not_cyberbullying
I admire your work!,cyberbullying
You're so stupid!,not_cyberbullying
You're worthless!,cyberbullying
You're a loser!,cyberbullying
I can't stand you!,cyberbullying
Nobody likes you.,cyberbullying
I admire your work!,cyberbullying
You're pathetic!,cyberbullying
Keep up the great work!,cyberbullying
You're worthless!,cyberbullying
I hate you so much!,not_cyberbullying
I can't stand you!,not_cyberbullying
You're a loser!,not_cyberbullying
You're worthless!,cyberbullying
Nobody likes you.,cyberbullying
I can't stand you!,cyberbullying
This is the best day ever!,not_cyberbullying
You're the best friend ever!,cyberbullying
I hate you so much!,cyberbullying
"Get lost, loser!",not_cyberbullying
I admire your work!,not_cyberbullying
I can't stand you!,not_cyberbullying
Nobody likes you.,cyberbullying
You inspire me!,cyberbullying
You're so stupid!,cyberbullying
You're the best friend ever!,not_cyberbullying
You inspire me!,not_cyberbullying
You're so stupid!,not_cyberbullying
You're amazing!,cyberbullying
You're a loser!,cyberbullying
"Get lost, loser!",not_cyberbullying
I hate you so much!,cyberbullying
I can't stand you!,cyberbullying
You're a loser!,not_cyberbullying
Nobody likes you.,not_cyberbullying
Nobody likes you.,cyberbullying
I admire your work!,not_cyberbullying
Love this view!,cyberbullying
I can't stand you!,not_cyberbullying
You're pathetic!,cyberbullying
You're a loser!,cyberbullying
I can't stand you!,not_cyberbullying
You're so stupid!,cyberbullying
Keep up the great work!,not_cyberbullying
You're amazing!,cyberbullying
Love this view!,cyberbullying
Love this view!,cyberbullying
You're amazing!,cyberbullying
Keep up the great work!,not_cyberbullying
I hate you so much!,cyberbullying
Love this view!,cyberbullying
Love this view!,cyberbullying
I admire your work!,not_cyberbullying
Love this view!,not_cyberbullying
Love this view!,cyberbullying
This is the best day ever!,cyberbullying
You're amazing!,not_cyberbullying
Such a wonderful experience!,cyberbullying
"Get lost, loser!",not_cyberbullying
You're pathetic!,cyberbullying
You're the best friend ever!,not_cyberbullying
You inspire me!,not_cyberbullying
"Get lost, loser!",cyberbullying
Keep up the great work!,not_cyberbullying
I can't stand you!,cyberbullying
Nobody likes you.,cyberbullying
Love this view!,cyberbullying
You're worthless!,not_cyberbullying
You're the best friend ever!,not_cyberbullying
I admire your work!,not_cyberbullying
You're a loser!,cyberbullying
This is the best day ever!,cyberbullying
You're so stupid!,not_cyberbullying
This is the best day ever!,cyberbullying
Such a wonderful experience!,cyberbullying
You're the best friend ever!,not_cyberbullying
I can't stand you!,cyberbullying
You're pathetic!,not_cyberbullying
I admire your work!,not_cyberbullying
Nobody likes you.,cyberbullying
Keep up the great work!,cyberbullying
You're the best friend ever!,not_cyberbullying
Keep up the great work!,not_cyberbullying
You're pathetic!,cyberbullying
I can't stand you!,not_cyberbullying
You inspire me!,not_cyberbullying
Love this view!,cyberbullying
You're a loser!,not_cyberbullying
I hate you so much!,cyberbullying
You inspire me!,not_cyberbullying
